top20_rank,rank,title,slug,category,domain_cluster,shortlist_bucket,complexity_level,effort_estimate,difficulty,icon,learning_goal_primary,learning_goals_secondary,learning_roi_score,build_risk_score,why_it_matters,jido_capabilities,external_dependencies,prerequisites,live_view_required,live_view_module,live_view_source_file,example_markdown_path,agent_module,proposed_source_files,critique_notes
1,1,Address Normalization Agent,address-normalization-agent,:core,core_mechanics,Foundations: state/actions/schemas,L1,2-4 hours,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,1,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.AddressNormalizationAgentLive,lib/agent_jido_web/examples/address_normalization_agent_live.ex,priv/examples/address-normalization-agent.md,AgentJido.Demos.AddressNormalizationAgent,lib/agent_jido/demos/address_normalization/address_normalization_agent.ex; lib/agent_jido/demos/address_normalization/actions/execute_action.ex; lib/agent_jido/demos/address_normalization/actions/reset_action.ex; lib/agent_jido_web/examples/address_normalization_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
2,2,Budget Guardrail Agent,budget-guardrail-agent,:core,core_mechanics,Foundations: state/actions/schemas,L1,2-4 hours,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,1,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.BudgetGuardrailAgentLive,lib/agent_jido_web/examples/budget_guardrail_agent_live.ex,priv/examples/budget-guardrail-agent.md,AgentJido.Demos.BudgetGuardrailAgent,lib/agent_jido/demos/budget_guardrail/budget_guardrail_agent.ex; lib/agent_jido/demos/budget_guardrail/actions/execute_action.ex; lib/agent_jido/demos/budget_guardrail/actions/reset_action.ex; lib/agent_jido_web/examples/budget_guardrail_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
3,3,Capacity Quota Tracker Agent,capacity-quota-tracker-agent,:core,core_mechanics,Foundations: state/actions/schemas,L1,2-4 hours,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,1,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.CapacityQuotaTrackerAgentLive,lib/agent_jido_web/examples/capacity_quota_tracker_agent_live.ex,priv/examples/capacity-quota-tracker-agent.md,AgentJido.Demos.CapacityQuotaTrackerAgent,lib/agent_jido/demos/capacity_quota_tracker/capacity_quota_tracker_agent.ex; lib/agent_jido/demos/capacity_quota_tracker/actions/execute_action.ex; lib/agent_jido/demos/capacity_quota_tracker/actions/reset_action.ex; lib/agent_jido_web/examples/capacity_quota_tracker_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
4,4,Cart Value Calculator Agent,cart-value-calculator-agent,:core,core_mechanics,Foundations: state/actions/schemas,L1,2-4 hours,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,1,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.CartValueCalculatorAgentLive,lib/agent_jido_web/examples/cart_value_calculator_agent_live.ex,priv/examples/cart-value-calculator-agent.md,AgentJido.Demos.CartValueCalculatorAgent,lib/agent_jido/demos/cart_value_calculator/cart_value_calculator_agent.ex; lib/agent_jido/demos/cart_value_calculator/actions/execute_action.ex; lib/agent_jido/demos/cart_value_calculator/actions/reset_action.ex; lib/agent_jido_web/examples/cart_value_calculator_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
5,5,Feature Flag Audit Agent,feature-flag-audit-agent,:core,core_mechanics,Foundations: state/actions/schemas,L1,2-4 hours,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,1,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.FeatureFlagAuditAgentLive,lib/agent_jido_web/examples/feature_flag_audit_agent_live.ex,priv/examples/feature-flag-audit-agent.md,AgentJido.Demos.FeatureFlagAuditAgent,lib/agent_jido/demos/feature_flag_audit/feature_flag_audit_agent.ex; lib/agent_jido/demos/feature_flag_audit/actions/execute_action.ex; lib/agent_jido/demos/feature_flag_audit/actions/reset_action.ex; lib/agent_jido_web/examples/feature_flag_audit_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
6,16,LiveView Checkout Recovery Coach,liveview-checkout-recovery-coach,:ai,product_ux_mixed_stack,LiveView + product integration,L1,2-4 hours,:beginner,ai,LiveView interaction patterns,AI/tool-use integration; Signals and routing,4,1,Bridges UI events to agent commands so product interactions remain deterministic and debuggable.,Phoenix LiveView; AgentServer state polling; UI event -> command mapping,none,training/agent-fundamentals; training/liveview-integration,true,AgentJidoWeb.Examples.LiveviewCheckoutRecoveryCoachLive,lib/agent_jido_web/examples/liveview_checkout_recovery_coach_live.ex,priv/examples/liveview-checkout-recovery-coach.md,AgentJido.Demos.LiveviewCheckoutRecoveryCoachAgent,lib/agent_jido/demos/liveview_checkout_recovery_coach/liveview_checkout_recovery_coach_agent.ex; lib/agent_jido/demos/liveview_checkout_recovery_coach/actions/execute_action.ex; lib/agent_jido/demos/liveview_checkout_recovery_coach/actions/reset_action.ex; lib/agent_jido_web/examples/liveview_checkout_recovery_coach_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
7,17,Meeting Prep Briefing Console,meeting-prep-briefing-console,:ai,product_ux_mixed_stack,LiveView + product integration,L1,2-4 hours,:beginner,ai,AI/tool-use integration,Action contracts and validation; LiveView interaction patterns,4,1,Connects LLM/tool loops to deterministic action execution patterns used in production.,Phoenix LiveView; AgentServer state polling; UI event -> command mapping,none,training/agent-fundamentals; training/liveview-integration,true,AgentJidoWeb.Examples.MeetingPrepBriefingConsoleLive,lib/agent_jido_web/examples/meeting_prep_briefing_console_live.ex,priv/examples/meeting-prep-briefing-console.md,AgentJido.Demos.MeetingPrepBriefingConsoleAgent,lib/agent_jido/demos/meeting_prep_briefing_console/meeting_prep_briefing_console_agent.ex; lib/agent_jido/demos/meeting_prep_briefing_console/actions/execute_action.ex; lib/agent_jido/demos/meeting_prep_briefing_console/actions/reset_action.ex; lib/agent_jido_web/examples/meeting_prep_briefing_console_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
8,18,Order Approval to Fulfillment Chain,order-approval-to-fulfillment-chain,:core,coordination_directives_time,Signals/directives/coordination,L1,2-4 hours,:beginner,core,Signals and routing,Directives (emit/schedule); Multi-agent orchestration,4,1,Shows how explicit signal contracts reduce coupling across workflows and teams.,signal_routes/1; Directive.emit; Directive.schedule; cross-agent handoff,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.OrderApprovalToFulfillmentChainLive,lib/agent_jido_web/examples/order_approval_to_fulfillment_chain_live.ex,priv/examples/order-approval-to-fulfillment-chain.md,AgentJido.Demos.OrderApprovalToFulfillmentChainAgent,lib/agent_jido/demos/order_approval_to_fulfillment_chain/order_approval_to_fulfillment_chain_agent.ex; lib/agent_jido/demos/order_approval_to_fulfillment_chain/actions/execute_action.ex; lib/agent_jido/demos/order_approval_to_fulfillment_chain/actions/reset_action.ex; lib/agent_jido_web/examples/order_approval_to_fulfillment_chain_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
9,20,Ticket Triage Swarm Coordinator,ticket-triage-swarm-coordinator,:core,coordination_directives_time,Signals/directives/coordination,L1,2-4 hours,:beginner,core,Directives (emit/schedule),Signals and routing; AgentServer runtime lifecycle,4,1,Demonstrates directive-driven side effects so delayed work stays testable and predictable.,signal_routes/1; Directive.emit; Directive.schedule; cross-agent handoff,none,training/agent-fundamentals,true,AgentJidoWeb.Examples.TicketTriageSwarmCoordinatorLive,lib/agent_jido_web/examples/ticket_triage_swarm_coordinator_live.ex,priv/examples/ticket-triage-swarm-coordinator.md,AgentJido.Demos.TicketTriageSwarmCoordinatorAgent,lib/agent_jido/demos/ticket_triage_swarm_coordinator/ticket_triage_swarm_coordinator_agent.ex; lib/agent_jido/demos/ticket_triage_swarm_coordinator/actions/execute_action.ex; lib/agent_jido/demos/ticket_triage_swarm_coordinator/actions/reset_action.ex; lib/agent_jido_web/examples/ticket_triage_swarm_coordinator_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
10,21,Document-Grounded Policy QnA Agent,document-grounded-policy-qna-agent,:ai,ai_tool_use,AI + tool-use workflows,L1,2-4 hours,:beginner,ai,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,4,2,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.AI ReActAgent; tool schemas; structured tool results,LLM_API_KEY (optional for local mock mode),training/agent-fundamentals; build/tool-use,true,AgentJidoWeb.Examples.DocumentGroundedPolicyQnaAgentLive,lib/agent_jido_web/examples/document_grounded_policy_qna_agent_live.ex,priv/examples/document-grounded-policy-qna-agent.md,AgentJido.Demos.DocumentGroundedPolicyQnaAgent,lib/agent_jido/demos/document_grounded_policy_qna/document_grounded_policy_qna_agent.ex; lib/agent_jido/demos/document_grounded_policy_qna/actions/execute_action.ex; lib/agent_jido/demos/document_grounded_policy_qna/actions/reset_action.ex; lib/agent_jido_web/examples/document_grounded_policy_qna_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
